Class,Name,Blue,Green,Red,InfraRed,X,Y
1,corn,75,101,102,190,547469.1902,3861269.532
1,corn,83,104,104,189,547475.0564,3861247.172
1,corn,83,99,101,185,547495.7771,3861258.595
1,corn,80,100,101,190,547448.6619,3861225.522
1,corn,92,110,105,190,547503.0469,3861227.898
1,corn,86,104,101,187,547515.2043,3861257.02
1,corn,79,91,92,178,547466.5428,3861273.746
1,corn,83,100,100,192,547486.8635,3861219.603
1,corn,86,101,104,183,547567.7325,3861185.474
1,corn,81,97,100,188,547546.4573,3861239.13
1,corn,91,107,108,193,547567.0908,3861219.029
1,corn,68,103,93,183,547446.8929,3861255.731
1,corn,81,100,101,186,547504.0309,3861231.571
1,corn,78,98,97,190,547465.309,3861267.019
1,corn,77,119,111,215,547456.46,3861259.902
1,corn,139,151,135,195,547482.289,3861284.91
1,corn,150,160,156,178,547605.9402,3861236.617
1,corn,82,104,103,190,547496.6818,3861245.945
1,corn,88,116,118,195,547547.8394,3861258.048
1,corn,88,106,113,197,547497.5136,3861258.35
1,corn,85,103,103,191,547531.2282,3861224.009
1,corn,89,107,105,183,547579.7832,3861225.378
1,corn,79,89,87,166,547576.9755,3861250.421
1,corn,109,124,112,152,547601.7398,3861239.525
1,corn,87,108,109,192,547465.3376,3861238.384
1,corn,86,104,104,190,547521.5498,3861219.765
1,corn,83,99,100,195,547593.5851,3861228.121
1,corn,83,100,101,190,547562.9857,3861225.482
1,corn,84,108,115,200,547528.2236,3861248.633
1,corn,85,104,104,192,547514.4761,3861227.948
1,corn,89,119,112,208,547459.1672,3861279.852
1,corn,100,110,105,182,547575.2957,3861260.211
1,corn,84,105,104,190,547493.0788,3861238.937
1,corn,81,95,98,188,547534.0663,3861228.463
1,corn,91,110,110,191,547511.9686,3861237.96
1,corn,101,102,94,165,547497.2274,3861272.895
1,corn,89,109,108,203,547458.9256,3861238.91
1,corn,82,101,102,184,547568.9555,3861218.096
1,corn,154,172,163,123,547590.609,3861257.186
1,corn,137,153,146,142,547598.0244,3861246.374
1,corn,78,100,102,199,547447.4133,3861222.964
1,corn,86,83,84,178,547462.5536,3861243.929
1,corn,82,99,99,182,547607.2368,3861204.931
1,corn,102,117,112,184,547573.9578,3861260.936
1,corn,118,136,127,192,547549.5258,3861276.279
1,corn,84,102,105,191,547474.1668,3861237.01
1,corn,114,121,119,197,547447.0346,3861268.354
1,corn,95,99,98,189,547569.8936,3861205.854
1,corn,63,82,90,189,547191.4286,3860718.787
1,corn,64,85,92,190,547221.953,3860731.46
1,corn,65,82,91,193,547126.6137,3860759.743
1,corn,63,81,90,178,547134.5626,3860743.731
1,corn,65,87,90,191,547181.2374,3860782.379
1,corn,65,82,90,179,547205.965,3860722.19
1,corn,71,87,90,186,547182.4348,3860785.541
1,corn,89,89,94,155,547208.7001,3860778.313
1,corn,63,81,90,189,547159.2345,3860711.874
1,corn,65,83,88,185,547129.0132,3860765.921
1,corn,66,86,91,199,547163.8551,3860763.959
1,corn,67,85,89,182,547167.9091,3860764.265
1,corn,69,90,94,188,547166.6242,3860794.875
1,corn,62,81,90,189,547120.4749,3860723.091
1,corn,64,82,90,188,547211.5422,3860715.489
1,corn,64,81,91,178,547143.1558,3860784.842
1,corn,62,82,91,191,547175.2646,3860718.434
1,corn,65,83,91,187,547127.3305,3860761.206
1,corn,62,81,90,189,547166.1437,3860695.057
1,corn,69,86,91,186,547142.423,3860809.189
1,corn,63,84,92,186,547150.097,3860741.617
1,corn,79,92,97,193,547166.5024,3860815.72
1,corn,68,87,95,186,547193.924,3860778.643
1,corn,64,82,89,182,547116.6561,3860763.179
1,corn,85,92,102,155,547154.1061,3860823.437
1,corn,63,82,88,186,547184.1472,3860721.557
1,corn,63,83,94,192,547181.2818,3860721.913
1,corn,61,80,89,195,547183.6938,3860689.949
1,corn,119,127,136,204,547159.6974,3860811.191
1,corn,67,84,88,175,547118.7591,3860755.358
1,corn,63,88,94,190,547129.9591,3860773.91
1,corn,65,82,91,185,547153.4226,3860783.585
1,corn,58,83,90,190,547169.5929,3860727.355
1,corn,62,79,88,186,547167.6569,3860690.262
1,corn,65,78,85,184,547137.6579,3860756.532
1,corn,65,84,91,186,547213.2268,3860740.36
1,corn,62,81,89,188,547160.0612,3860697.886
1,corn,65,83,90,185,547177.6381,3860749.451
1,corn,64,81,90,185,547218.9826,3860721.686
1,corn,63,81,90,187,547151.6564,3860706.809
1,corn,63,82,91,189,547192.307,3860720.482
1,corn,63,82,90,184,547161.098,3860713.198
1,corn,62,81,89,185,547193.9049,3860706.904
1,corn,65,82,90,187,547145.551,3860767.125
1,corn,63,75,79,169,547217.7493,3860748.997
1,corn,62,83,90,188,547195.5601,3860695.504
1,corn,63,81,90,186,547175.4367,3860741.234
1,corn,73,91,97,192,547164.4693,3860796.374
1,corn,72,89,90,173,547191.1887,3860779.152
1,corn,62,78,92,186,547212.3936,3860694.11
1,corn,70,94,100,196,547160.2466,3860799.635
1,corn,62,82,90,185,547159.3662,3860692.783
1,corn,63,79,87,188,547218.8249,3860728.904
1,corn,41,53,63,89,547157.2366,3860823.071
1,corn,91,85,96,180,547202.9257,3860780.312
1,corn,68,87,93,187,547160.1101,3860793.946
1,corn,62,81,90,187,547182.6811,3860713.89
1,corn,63,81,90,186,547219.7611,3860713.259
1,corn,63,81,89,187,547126.8826,3860780.713
1,corn,65,85,96,185,547146.1319,3860806.3
1,corn,64,77,88,179,547137.3803,3860742.362
1,corn,63,85,93,190,547129.3582,3860775.375
1,corn,64,83,90,185,547159.6293,3860745.696
1,corn,63,79,91,185,547136.1686,3860731.297
1,corn,63,75,79,176,547145.5458,3860786.225
1,corn,63,81,92,188,547119.8806,3860734.877
1,corn,63,83,90,187,547176.3932,3860744.345
1,corn,120,161,139,204,547151.0894,3860820.628
1,corn,65,82,91,183,547151.7754,3860766.768
1,corn,62,81,90,189,547125.2993,3860713.511
1,corn,63,81,89,187,547139.4107,3860793.451
1,corn,65,82,91,189,547166.3436,3860727.67
1,corn,65,81,91,181,547146.6902,3860769.082
1,corn,62,80,89,187,547124.7508,3860785.176
1,corn,63,84,95,187,547133.2236,3860720.796
1,corn,63,81,91,188,547176.8221,3860716.548
1,corn,93,113,98,186,547130.3519,3860833.642
1,corn,63,79,86,183,547145.5109,3860787.95
1,corn,75,100,102,203,547186.0022,3860762.805
1,corn,63,85,90,189,547164.5445,3860713.756
1,corn,67,85,88,184,547181.0282,3860784.427
1,corn,66,84,90,186,547150.1926,3860761.273
1,corn,64,79,89,187,547173.95,3860725.927
1,corn,65,83,91,190,547152.7276,3860763.063
1,corn,63,81,90,178,547133.8783,3860744.442
1,corn,62,82,89,187,547138.535,3860726.43
1,corn,62,81,89,189,547203.0301,3860720.093
1,corn,63,83,90,188,547182.923,3860740.825
1,corn,63,82,90,189,547191.247,3860717.391
1,corn,64,80,89,174,547132.8146,3860747.981
1,corn,63,82,91,185,547146.6367,3860712.027
1,corn,62,81,89,191,547190.3436,3860686.111
1,corn,40,43,52,77,547170.6992,3860807.249
1,corn,63,81,89,187,547139.1038,3860793.495
1,corn,63,82,91,187,547153.6124,3860725.785
1,corn,71,84,92,187,547211.4937,3860758.859
1,corn,57,58,59,85,547133.1142,3860837.259
1,corn,63,82,90,192,547165.4756,3860740.969
1,corn,63,82,90,185,547199.656,3860726.636
1,corn,64,83,88,185,547130.8221,3860766.949
1,corn,61,80,88,184,547136.976,3860798.402
1,corn,63,82,90,184,547147.198,3860714.037
1,corn,79,94,94,179,547166.6316,3860805.322
1,corn,64,80,88,183,547185.9467,3860748.696
1,corn,66,84,91,185,547151.7743,3860762.761
1,corn,71,75,75,178,547200.021,3860787.94
1,corn,66,84,91,184,547147.4943,3860760.77
1,corn,60,80,90,187,547169.3894,3860701.438
1,corn,63,81,90,188,547197.2523,3860723.333
1,corn,63,81,90,183,547186.1158,3860775.695
1,corn,68,84,90,189,547209.8198,3860760.787
1,corn,63,83,90,179,547127.1225,3860746.847
1,corn,63,87,96,193,547123.7044,3860728.072
1,corn,65,83,91,194,547148.072,3860766.367
1,corn,110,129,118,206,547141.2584,3860818.179
1,corn,62,83,91,194,547209.7234,3860765.751
1,corn,63,78,87,180,547181.1378,3860736.357
1,corn,62,80,89,178,547163.4244,3860695.058
1,corn,63,82,91,190,547179.6306,3860718.793
1,corn,63,83,91,187,547160.3672,3860728.888
1,corn,63,81,89,186,547204.5987,3860732.889
1,corn,64,86,92,197,547190.6223,3860758.145
1,corn,81,101,100,200,548381.514,3860639.346
1,corn,78,104,97,184,548408.4685,3860657.795
1,corn,80,100,100,203,548513.3429,3860583.397
1,corn,79,98,98,200,548377.5768,3860651.013
1,corn,79,96,98,197,548389.9277,3860636.965
1,corn,84,109,103,196,548497.9563,3860562.483
1,corn,82,100,98,201,548516.7538,3860559.504
1,corn,71,90,93,180,548354.505,3860658.495
1,corn,79,98,98,201,548489.1186,3860594.983
1,corn,82,101,101,189,548408.8063,3860623.395
1,corn,83,103,98,202,548454.8599,3860617.132
1,corn,82,102,101,204,548466.9992,3860588.574
1,corn,84,100,101,198,548441.2085,3860625.384
1,corn,85,109,107,194,548532.8135,3860567.035
1,corn,80,103,101,199,548455.0588,3860584.6
1,corn,83,101,100,199,548453.1524,3860589.535
1,corn,74,94,95,176,548510.8561,3860601.641
1,corn,79,99,99,200,548425.2912,3860599.104
1,corn,126,129,130,187,548519.4874,3860590.666
1,corn,80,98,96,200,548398.4158,3860595.292
1,corn,81,100,99,201,548366.3895,3860649.156
1,corn,80,99,99,200,548455.2979,3860576.5
1,corn,80,99,97,200,548418.2876,3860614.933
1,corn,74,94,95,186,548443.9648,3860571.12
1,corn,129,128,118,170,548414.0272,3860649.23
1,corn,80,96,99,200,548466.7492,3860574.091
1,corn,84,101,102,201,548463.7898,3860549.2
1,corn,105,118,121,219,548492.7949,3860542.213
1,corn,81,103,104,205,548436.0974,3860586.548
1,corn,80,100,101,199,548501.2423,3860569.533
1,corn,74,95,91,181,548507.7783,3860594.095
1,corn,140,160,151,211,548443.51,3860634.454
1,corn,98,124,119,185,548488.3692,3860613.944
1,corn,73,92,96,190,548351.4096,3860658.851
1,corn,80,100,101,196,548468.9334,3860544.845
1,corn,80,100,100,202,548442.1726,3860600.148
1,corn,81,101,101,198,548504.8427,3860579.667
1,corn,51,59,68,78,548388.8284,3860661.187
1,corn,80,103,100,203,548462.7731,3860594.18
1,corn,79,100,99,202,548481.9817,3860585.213
1,corn,82,101,99,200,548494.6483,3860593.666
1,corn,77,86,84,178,548372.8547,3860641.537
1,corn,89,108,107,199,548488.5549,3860603.666
1,corn,84,97,95,212,548418.0575,3860597.494
1,corn,78,97,97,197,548390.47,3860642.762
1,corn,82,103,100,202,548445.8554,3860588.512
1,corn,79,99,98,202,548405.4271,3860633.151
1,corn,80,99,98,199,548463.4726,3860556.201
1,corn,80,101,100,199,548434.6747,3860575.049
1,corn,57,54,61,99,548449.1151,3860632.574
1,corn,82,102,102,197,548479.0423,3860565.882
1,corn,71,70,77,91,548359.0838,3860682.542
1,corn,81,104,100,200,548469.7149,3860581.494
1,corn,81,87,90,200,548432.1899,3860610.335
1,corn,80,99,98,201,548498.6994,3860587.055
1,corn,78,100,100,198,548476.3963,3860544.139
1,corn,86,107,106,202,548436.7308,3860582.496
1,corn,84,100,90,119,548540.2706,3860551.399
1,corn,88,108,104,195,548409.6473,3860593.36
1,corn,79,100,99,180,548520.0851,3860557.134
1,corn,80,98,98,199,548386.3065,3860645.251
1,corn,80,99,100,203,548514.0172,3860583.504
1,corn,83,97,100,201,548404.4719,3860594.445
1,corn,80,98,98,200,548384.5015,3860644.45
1,corn,47,69,67,141,548520.0958,3860556.524
1,corn,80,106,100,198,548525.5349,3860541.02
1,corn,93,116,110,205,548426.2612,3860637.852
1,corn,79,97,99,201,548476.3762,3860587.269
1,corn,87,105,113,200,548495.9006,3860538.266
1,corn,82,100,98,195,548417.3315,3860607.974
1,corn,80,99,98,200,548404.3994,3860644.958
1,corn,98,118,119,216,548511.2576,3860530.665
1,corn,82,101,99,200,548434.8316,3860600.507
1,corn,98,118,109,150,548523.6813,3860595.221
1,corn,81,101,99,195,548460.2928,3860600.275
1,corn,80,101,101,197,548453.5866,3860582.888
1,corn,83,112,110,194,548508.4639,3860556.988
1,corn,97,110,105,195,548407.517,3860648.077
1,corn,78,98,97,199,548389.0705,3860642.29
1,corn,79,98,98,201,548379.2836,3860655.25
1,corn,87,105,104,197,548508.7258,3860592.364
1,corn,85,105,104,196,548510.6563,3860591.356
1,corn,78,98,98,198,548383.2193,3860654.34
1,corn,78,84,85,167,548453.6659,3860570.452
1,corn,68,76,71,114,548380.1275,3860667.266
1,corn,79,97,97,200,548386.6158,3860643.274
1,corn,92,111,113,201,548400.0298,3860650.22
